id,name,sort_order,indicator_filter_type_id
254,0.1%-99.9%,2,30
255,100%,3,30
256,Taxable,1,32
257,Government,2,32
258,Pilot,3,32
259,Hospital,4,32
260,Charity,5,32
261,Religious,6,32
262,Education,7,32
263,Project,8,32
264,Railroad,9,32
265,Other,10,32
266,Mean taxable value over $0,,
267,Median taxable value over $0,,
268,Total Taxable Value,,
269,Total properties owned by the DLBA,,
270,Total DLBA sales,,
271,Auction,1,33
272,Community partner,2,33
273,Side lot,3,33
274,Own-it-now,4,33
275,Investor,,
276,Homebuyer,,
277,Unknown,,
278,"Less than $1,999",1,34
279,"$2,000 - $3,999",2,34
280,"$4,000 - $5,999",3,34
281,"$6,000 - $7,999",4,34
282,"$8,000 - $9,999",5,34
283,"$10,000 or greater",6,34
284,Accessory structure,1,35
285,Commercial structure,2,35
286,Residential structure,3,35
287,Industrial structure,4,35
288,Residential lot,5,35
289,Non-residential lot,6,35
290,Number of sewer backups,,
291,Covered,1,18
292,Uncovered,2,18
293,more than 1 mile/0.1 miles,1,19
294,less than 1 mile/0.1 miles,2,19
295,Covered,1,20
296,Uncovered,2,20
297,Daily Average PM2.5 concentration,,
298,more than 1/4 mile,1,23
299,less than 1/4 mile,2,23
300,Covered,1,24
301,Uncovered,2,24
302,Walkability Score,,
303,Percent of properties transacted,,
304,Average price sold,,
305,Total property sales,,
306,Number of probable rental units,,
307,Rental,1,13
308,Non-rental,2,13
309,Lead Certificate,1,17
310,No Lead Certificate,2,17
311,Corporate,1,13
312,Non-corporate,2,13
313,Transacted,1,14
314,Non-transacted,2,14
315,Detroit Taxpayer,1,15
316,Michigan Taxpayer,2,15
317,Out-of-State Taxpayer,3,15
318,Type 1,1,16
319,Type 2,2,16
320,Type 3,3,16
321,Type 4,4,16
322,Alone,1,21
323,Not Alone,2,21
324,With Internet,1,22
325,Without Internet,2,22
326,Total tax foreclosures,,
327,Number of licensed child care facilities,,
328,Licensed child care centers,1,52
329,Group homes,2,52
330,Family homes,3,52
331,Early Head Start (age 0-3),1,53
332,GSRP (age 4),2,53
333,Head Start (age 3-5),3,53
334,Total capacity of licensed child care facilities,,
335,Early Head Start programs,1,54
336,GSRP programs,2,54
337,Head Start programs,3,54
